label,shape_type,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24,a_25,a_26,a_27,a_28,a_29,a_30,a_31,a_32,a_33,a_34,a_35,a_36,a_37,a_38,a_39,a_40,a_41,a_42,a_43,a_44,a_45,a_46,a_47,a_48,a_49,a_50,a_51,a_52,a_53,a_54,a_55,a_56,a_57,a_58,a_59,a_60,a_61,a_62,a_63,a_64,a_65,a_66,a_67,a_68,a_69,a_70,a_71,a_72,a_73,a_74,a_75,a_76,a_77,a_78,a_79,a_80,a_81,a_82,a_83,a_84,a_85,a_86,a_87,a_88,a_89,a_90,a_91,a_92,a_93,a_94,a_95,a_96,a_97,a_98,a_99,a_100
1,lorentzian,0.069088,0.081688,0.035319,0.005815,-0.067277,-0.015672,0.019435,0.071203,-0.020502,0.008120,-0.030144,-0.039763,0.053456,0.033743,0.001771,-0.005282,-0.004688,-0.010084,0.075401,0.059119,0.049964,-0.019428,-0.130123,-0.015038,0.160239,0.086725,0.011486,-0.043121,0.046457,0.213647,0.029078,0.017077,0.096651,0.051731,-0.037960,0.055951,0.198235,0.050513,0.194758,0.163909,0.188425,0.204075,0.218597,0.387930,0.344066,0.382766,0.282175,0.383993,0.625838,0.583120,0.859798,0.866308,1.084001,1.137329,1.162554,0.987984,1.091360,0.933254,0.759234,0.561740,0.631351,0.357885,0.484002,0.226193,0.176877,0.250445,0.295789,0.267392,0.056719,0.032519,0.152789,0.123810,-0.019257,0.055181,0.178211,0.111909,0.025987,0.022744,-0.014961,0.109842,0.036985,-0.009319,0.051750,-0.005898,-0.155275,-0.010525,-0.018471,0.020160,-0.032558,-0.086576,0.101042,0.071255,0.032031,-0.014323,-0.067167,0.016016,0.074587,0.117039,0.117955,0.054848,0.143986
0,gaussian,-0.005793,-0.007506,-0.008420,0.012848,0.007790,-0.008997,0.030090,-0.002817,-0.004388,0.000926,0.013800,-0.007391,-0.021239,-0.004734,0.009863,-0.001876,0.007008,-0.008987,0.004956,-0.011060,0.013988,0.017841,-0.022389,-0.006734,-0.008959,-0.009000,-0.013377,0.000780,0.017066,0.022459,-0.002177,0.004211,0.021694,0.016163,-0.007131,-0.003034,0.010678,0.006160,-0.014235,-0.010173,0.013822,-0.008044,-0.003096,0.019723,0.055583,0.135516,0.314421,0.619317,1.053026,1.610482,2.112027,2.538763,2.656349,2.450007,1.964703,1.432140,0.921882,0.533861,0.262725,0.114011,0.037507,0.018149,0.008935,-0.017163,-0.006260,0.020350,-0.011513,0.012815,0.019406,0.009929,-0.007605,0.011063,-0.003423,-0.005015,-0.009336,-0.013514,0.004057,-0.002977,0.002764,-0.001172,0.006290,-0.011975,0.013906,-0.014039,0.005043,-0.003659,-0.008352,-0.005539,0.002901,-0.012107,-0.010395,0.014339,-0.001205,-0.001183,-0.021694,-0.012846,0.003201,-0.009175,0.011819,0.001806,-0.021552
0,gaussian,-0.008219,-0.007206,0.004201,0.007415,0.013468,0.001202,-0.001761,0.022045,0.007277,0.000133,0.042755,-0.014287,0.002365,-0.000785,-0.007325,-0.018470,-0.004874,0.014025,0.002297,-0.019277,-0.003739,-0.001548,0.011915,-0.007824,-0.010427,-0.008595,0.003008,-0.000371,0.008807,-0.003263,-0.017618,-0.016108,-0.001921,-0.000180,-0.008434,0.001642,-0.005358,-0.010217,-0.002643,0.005028,-0.001708,-0.019495,0.013849,0.012957,0.050041,0.113331,0.325771,0.762452,1.429847,2.200766,2.744922,2.813631,2.354255,1.601734,0.892113,0.413561,0.127290,0.054449,0.013787,-0.016613,0.014253,0.007294,0.005115,-0.014857,0.034585,0.012932,0.002414,-0.010604,-0.004624,-0.004319,-0.004473,-0.019775,-0.009172,0.007677,0.007805,-0.005022,0.008735,-0.004972,0.006145,0.011350,0.018485,0.003636,0.012693,-0.004353,0.000344,-0.002143,-0.004734,-0.000735,-0.000120,-0.006095,-0.022785,-0.017909,0.010508,0.007502,-0.013536,0.010975,-0.004503,0.008865,-0.010418,-0.015232,0.015297
1,lorentzian,0.140773,-0.059658,-0.043265,0.002484,0.024390,0.106044,-0.089839,0.067587,-0.050792,-0.050522,0.066489,0.041965,0.153093,0.027459,-0.011323,0.098902,0.080505,0.011200,0.070868,0.034631,0.194050,-0.075609,-0.022328,0.077903,0.129260,0.054316,0.112575,0.114929,0.001818,0.192214,0.067999,0.166202,0.229751,0.242153,0.288082,0.286227,0.274708,0.388604,0.491109,0.544227,0.741307,0.805385,1.004686,1.041883,1.123587,1.032019,0.906379,0.845382,0.659634,0.523503,0.554789,0.254648,0.484920,0.372325,0.183423,0.156012,0.018591,0.143508,0.070154,-0.004506,0.209763,0.116406,0.146924,-0.003508,0.055821,0.121493,-0.040658,0.033011,-0.096906,-0.020834,0.029600,0.134908,-0.032336,0.003783,0.023493,0.000313,0.030163,-0.007883,0.060584,0.042029,0.132751,-0.042064,-0.050379,-0.056395,0.004051,0.095119,-0.000782,0.058552,0.003284,-0.003693,-0.000598,-0.023839,0.101930,0.027384,-0.049534,0.076559,0.070222,0.067627,-0.024349,0.041497,-0.046641
1,lorentzian,-0.050513,0.092182,0.216422,0.098484,-0.173881,-0.000277,-0.110729,-0.005570,-0.089088,0.127175,0.025578,0.015186,0.077314,0.178346,0.170820,0.030714,0.019452,0.000057,-0.007894,0.061250,-0.103443,-0.126021,0.083844,-0.050877,0.013126,0.070001,0.075591,0.034545,-0.054521,0.256887,-0.073488,0.222251,0.100767,0.128162,0.177421,0.127535,0.178118,0.001193,0.052598,0.021205,0.030580,-0.057032,0.177426,0.191209,0.024057,0.119419,0.398838,0.217181,0.348360,0.286187,0.389334,0.504637,0.592770,0.563925,0.982086,1.035468,1.340725,1.378650,1.426747,1.286625,0.983998,1.001958,0.993262,0.671031,0.765586,0.473152,0.601880,0.482915,0.137833,0.204071,0.235668,0.398066,0.354662,0.083353,0.262400,0.121376,0.120612,0.122642,0.161802,0.230559,0.200875,0.228013,0.185687,-0.061982,0.016177,0.023442,0.130916,0.115558,0.047762,0.035793,-0.041599,0.018235,0.098401,0.194406,0.101666,-0.098822,0.182745,0.036991,0.033623,0.015837,0.136592
1,lorentzian,0.142584,0.012649,-0.004918,-0.004753,-0.057820,-0.044257,-0.000415,0.005493,0.010505,-0.034095,-0.075545,0.041756,-0.102192,0.159880,0.028153,0.036199,-0.183882,0.069334,0.133570,0.045049,-0.022579,0.031297,-0.041238,0.071492,0.099356,-0.080124,0.113471,0.094119,0.077134,0.125870,0.207382,0.031192,0.037905,0.144871,0.202025,0.114417,0.122155,0.111393,0.067553,0.374974,0.296372,0.222777,0.269870,0.346084,0.389406,0.390288,0.371348,0.499547,0.654481,0.906554,0.990416,1.115263,1.344988,1.430831,1.507319,1.466218,1.225093,1.181338,0.966514,0.750402,0.742458,0.663137,0.537585,0.528449,0.408221,0.359023,0.276086,0.295303,0.305681,0.281235,0.249461,0.283947,0.175847,0.141282,0.132979,0.109940,0.110755,0.108025,0.190877,-0.070776,0.160237,0.097657,0.118872,0.074441,0.142505,0.074515,0.141519,-0.064599,0.104162,-0.007179,-0.038448,0.017477,0.004627,-0.010502,0.135673,0.071643,0.207071,0.055787,-0.044160,0.003715,-0.052020
0,gaussian,0.027118,0.018311,0.034305,0.007719,0.027482,0.004312,-0.007705,-0.024353,-0.005079,0.018573,0.032021,-0.004217,0.022703,0.027484,-0.032374,0.023619,0.009799,0.010387,-0.003100,0.002120,-0.002879,-0.029223,0.035488,-0.005145,-0.008445,-0.020225,-0.015609,-0.019721,0.018402,0.003014,-0.001083,0.010719,0.013030,-0.001046,-0.002525,-0.002907,0.011025,-0.000795,-0.001496,-0.008806,0.014581,0.010786,-0.011640,0.006975,-0.008326,0.062951,0.209364,0.607542,1.217543,1.971608,2.533505,2.447712,1.886174,1.114222,0.532705,0.180769,0.062237,0.001329,-0.002883,0.024012,-0.017546,-0.018181,-0.031819,0.026894,0.001268,0.005112,-0.014664,0.030590,0.003162,-0.015116,-0.014191,0.014786,0.038082,-0.021529,-0.011644,-0.013417,-0.004568,0.001016,0.009200,-0.024407,-0.010927,-0.000164,-0.019768,-0.007310,-0.007798,-0.000269,-0.003719,0.032183,0.008142,0.007115,-0.005029,0.014442,-0.017700,0.004545,-0.008072,-0.000643,0.010475,-0.016324,-0.003283,0.003505,-0.010367
1,lorentzian,-0.030156,0.102281,-0.024621,0.020292,0.019248,-0.165816,0.048428,0.048205,0.029162,0.012672,0.111147,-0.106294,0.116286,0.018893,-0.026888,0.119213,0.095663,0.075216,-0.048082,0.045179,0.111697,0.072652,-0.057895,0.033219,0.022816,0.081551,0.005923,0.084044,-0.009456,0.019673,0.106221,0.010408,0.173033,-0.049430,0.078411,0.004508,0.011410,0.156948,0.148777,0.037275,0.173048,0.295705,0.017701,0.144854,0.138071,0.382209,0.317873,0.312605,0.396532,0.414184,0.603080,0.752947,0.792374,1.050050,1.217762,1.145424,1.208843,1.131758,1.193640,0.930298,0.682644,0.566150,0.500068,0.330241,0.366080,0.410464,0.170172,0.260122,0.185259,0.188985,0.104381,0.173753,0.044424,0.118357,0.077652,0.156162,0.046008,-0.031679,0.052972,0.000147,0.155726,0.103376,0.024223,0.171074,0.084521,0.028419,-0.147973,0.144044,0.080218,-0.000025,0.041561,-0.005231,-0.002045,0.025083,0.112551,0.079547,0.010823,-0.008381,0.013467,0.060133,0.022686
1,lorentzian,0.050307,-0.042103,-0.006871,-0.100611,0.140985,-0.081507,-0.078322,0.049852,0.064498,-0.042006,-0.082813,-0.183644,0.007547,-0.026823,-0.069198,0.051083,0.115494,0.051380,0.021857,0.124450,0.081798,0.064000,-0.024523,0.012085,0.099190,0.023956,0.117799,0.030497,0.081761,0.087736,0.074571,0.116172,0.251377,0.034601,0.173096,0.149948,0.262964,0.164431,0.119070,0.246318,0.270649,0.294328,0.384340,0.325865,0.504073,0.646959,0.710428,0.776351,1.021214,1.113817,1.166802,1.303409,1.232587,1.213867,1.053437,0.879532,0.609190,0.555989,0.428370,0.322431,0.304569,0.240140,0.501090,0.281242,0.307745,0.131532,0.122300,0.146687,0.205453,0.183194,0.046848,0.077218,0.075336,0.084908,0.052866,0.053707,0.087787,0.062707,-0.075528,-0.111504,-0.063317,-0.010603,-0.038319,0.074950,-0.077460,0.109916,0.140613,0.015499,-0.113745,0.062561,0.081953,-0.015029,0.026345,0.033741,0.137521,0.051560,-0.022871,-0.055381,-0.016288,0.063825,-0.010187
1,lorentzian,-0.051553,0.026705,-0.063663,0.077756,0.017314,0.078188,-0.024341,0.009923,0.064739,0.120101,0.099138,-0.005424,0.094905,-0.051333,0.078004,-0.045868,-0.078892,-0.005520,0.144079,0.011628,-0.068274,0.056988,0.020744,-0.006512,0.103106,0.021599,0.112041,0.034870,-0.067323,0.086439,-0.021297,0.227368,0.091093,0.311060,0.096185,0.188265,0.113782,0.023319,0.320389,0.209580,0.294689,0.357151,0.393144,0.441572,0.562079,0.513378,0.724042,0.836490,1.075723,1.228990,1.240090,1.389677,1.312134,1.225178,1.001158,0.919840,0.784327,0.580725,0.677119,0.318646,0.448906,0.319058,0.337765,0.338363,0.210382,0.124257,0.324256,0.154100,0.176587,0.153221,0.150704,0.138916,0.071875,0.043358,0.061738,0.010870,0.073356,0.088026,-0.040718,0.043740,0.088054,-0.003923,0.066281,0.122917,0.047595,0.012049,0.011390,0.019870,-0.076388,-0.014189,0.046406,0.099771,-0.076320,-0.065204,-0.033241,0.174178,0.159534,-0.057111,0.029195,-0.026030,-0.051239
